item_id,product_name,price,original_price,discount_pct,sold_lifetime,rating_avg,review_count,category,url,image_url,scraped_at
15488281966,"""CALL ME"" TEE IN ELECTRIC BLUE",970,,,6.0,,1.0,"Men's Clothing > Tops > Shirts > ""CALL ME"" TEE IN ELECTRIC BLUE",https://www.lazada.com.ph/products/pdp-i15488281966.html,https://filebroker-cdn.lazada.com.ph/kf/Sda5d9f13d685466685ab368eb30db61aw.jpg,20260706_223212
4302632721,BOXER BRIEF BUNDLE OF 3 (4 COLORWAYS),770,,,107.0,,39.0,"Lingerie, Sleep, Lounge & Thermal Wear > Bottoms > Men > Boxers & Briefs > BOXER BRIEF BUNDLE OF 3 (4 COLORWAYS)",https://www.lazada.com.ph/products/pdp-i4302632721.html,https://filebroker-cdn.lazada.com.ph/kf/S9f8d58aa076c423a8fcbf62db02eabd6u.jpg,20260706_223212
15479429277,"""THAI"" LOGO TEE IN (2 COLORWAYS)",1088,,,,,,"Men's Clothing > Tops > T-Shirts & Tanks > ""THAI"" LOGO TEE IN (2 COLORWAYS)",https://www.lazada.com.ph/products/pdp-i15479429277.html,https://img.lazcdn.com/g/p/a36831cc23ea31d6003b9ae0db0d27b3.jpg_200x200q80.jpg,20260706_223212
15530626872,"""PEACE PAISLEY"" BANDANA SOCK IN (2 COLORWAYS)",270,,,,5.0,1.0,"Sports Shoes and Clothing > Sports Accessories > Socks, Gloves & Protective Gear > ""PEACE PAISLEY"" BANDANA SOCK IN (2 COLORWAYS)",https://www.lazada.com.ph/products/pdp-i15530626872.html,https://filebroker-cdn.lazada.com.ph/kf/S37a7f4554a224ea5a6d32ad460bbbf67Q.jpg,20260706_223212
4297755607,MN+LA SOCK - SINGLE (4 COLORWAYS),200,,,80.0,4.7,28.0,"Lingerie, Sleep, Lounge & Thermal Wear > Socks & Tights > MN+LA SOCK - SINGLE (4 COLORWAYS)",https://www.lazada.com.ph/products/pdp-i4297755607.html,https://img.lazcdn.com/g/ff/kf/S6313e5afcadc470994b078f08ecebeccy.jpg_200x200q80.jpg,20260706_223212
4960805689,OVERSIZED TEE (4 COLORWAYS),770,,,73.0,4.8,23.0,Men's Clothing > Tops > T-Shirts & Tanks > OVERSIZED TEE (4 COLORWAYS),https://www.lazada.com.ph/products/pdp-i4960805689.html,https://filebroker-cdn.lazada.com.ph/kf/Sfcf4f79fd3a14fb2a0753833a9e70bbcC.jpg,20260706_223212
15479890613,"""AIR DANCER"" FEMME X MN+LA™ 5 PANEL HAT IN BUBBLE GUM PINK",1070,,,,,,"Fashion Accessories > Accessories > Hair Accessories > ""AIR DANCER"" FEMME X MN+LA™ 5 PANEL HAT IN BUBBLE GUM PINK",https://www.lazada.com.ph/products/pdp-i15479890613.html,https://filebroker-cdn.lazada.com.ph/kf/Sae5f5f1f5cdc4ad0bd0f535a1cf3b20bp.jpg,20260706_223212
15479966477,BOX TEE IN OLIVE,770,,,6.0,,,Men's Clothing > Tops > Shirts > BOX TEE IN OLIVE,https://www.lazada.com.ph/products/pdp-i15479966477.html,https://filebroker-cdn.lazada.com.ph/kf/S24bf071b78ef46d5b6bd8fbda5bdcf31i.jpg,20260706_223212
15480125275,"""HITTER"" V3 5 PANEL HAT IN (5 COLORWAYS)",1070,,,,,,"Sports Shoes and Clothing > Sports Accessories > Hats & Caps > ""HITTER"" V3 5 PANEL HAT IN (5 COLORWAYS)",https://www.lazada.com.ph/products/pdp-i15480125275.html,https://filebroker-cdn.lazada.com.ph/kf/Sd5f95542adee4b50b9b101befc25b978O.jpg,20260706_223212
4387712679,MN+LA™ PARFUM 50 ML (4 SCENTS),1070,,,106.0,4.8,33.0,Beauty > Fragrances > Unisex > MN+LA™ PARFUM 50 ML (4 SCENTS),https://www.lazada.com.ph/products/pdp-i4387712679.html,https://img.lazcdn.com/g/ff/kf/Sf8ad099ae63f406392d2923d0ed7ba00J.jpg_200x200q80.jpg,20260706_223212
4711591240,CLASSIC TEE (4 COLORWAYS),770,,,129.0,5.0,42.0,Men's Clothing > Tops > T-Shirts & Tanks > CLASSIC TEE (4 COLORWAYS),https://www.lazada.com.ph/products/pdp-i4711591240.html,https://filebroker-cdn.lazada.com.ph/kf/Sb607740d8db14138b617a0118d4b1750R.jpg,20260706_223212
4701899303,MN+LA™ BANDANA (3 COLORWAYS),370,,,150.0,5.0,36.0,Fashion Accessories > Accessories > Pocket Squares > MN+LA™ BANDANA (3 COLORWAYS),https://www.lazada.com.ph/products/pdp-i4701899303.html,https://filebroker-cdn.lazada.com.ph/kf/S706e17d4f69c494f95c9d4df7be42ae2A.jpg,20260706_223212
15530133855,"""OUTDOOR EXPLORATION"" SOCK IN WHITE",270,,,,,,"Sports Shoes and Clothing > Sports Accessories > Socks, Gloves & Protective Gear > ""OUTDOOR EXPLORATION"" SOCK IN WHITE",https://www.lazada.com.ph/products/pdp-i15530133855.html,https://filebroker-cdn.lazada.com.ph/kf/Sa3306a84f6574df69c0c7a8e97806ae4Z.jpg,20260706_223212
